Target Geo Id 2010,Target Geo Id2 2010,Geographical Area,MSA,Population 2010,Housing units 2010,Area in square miles - Total area 2010,Area in square miles - Water area 2010,Area in square miles - Land area 2010,Density per square mile of land area - Population 2010,Density per square mile of land area - Housing units 2010
310M100US16820,16820,"United States - In metropolitan statistical area - Charlottesville, VA MSA","Charlottesville, VA MSA",201559,89134,1657.74,13.69,1644.04,122.6,54.2
310M100US16860,16860,"United States - In metropolitan statistical area - Chattanooga, TN-GA MSA","Chattanooga, TN-GA MSA",528143,234440,2137.82,48.85,2088.97,252.8,112.2
310M100US16940,16940,"United States - In metropolitan statistical area - Cheyenne, WY MSA","Cheyenne, WY MSA",91738,40462,2687.56,1.65,2685.91,34.2,15.1
310M100US16980,16980,"United States - In metropolitan statistical area - Chicago-Joliet-Naperville, IL-IN-WI MSA","Chicago-Joliet-Naperville, IL-IN-WI MSA",9461105,3797247,9578.6,2381.79,7196.81,1314.6,527.6
310M100US17020,17020,"United States - In metropolitan statistical area - Chico, CA MSA","Chico, CA MSA",220000,95835,1677.13,40.67,1636.46,134.4,58.6
310M100US17140,17140,"United States - In metropolitan statistical area - Cincinnati-Middletown, OH-KY-IN MSA","Cincinnati-Middletown, OH-KY-IN MSA",2130151,917396,4465.77,73.89,4391.88,485,208.9
310M100US17300,17300,"United States - In metropolitan statistical area - Clarksville, TN-KY MSA","Clarksville, TN-KY MSA",273949,114145,2242.21,84.77,2157.44,127,52.9
310M100US17420,17420,"United States - In metropolitan statistical area - Cleveland, TN MSA","Cleveland, TN MSA",115788,49386,773.78,10.35,763.44,151.7,64.7
310M100US17460,17460,"United States - In metropolitan statistical area - Cleveland-Elyria-Mentor, OH MSA","Cleveland-Elyria-Mentor, OH MSA",2077240,955756,3979.42,1982.12,1997.31,1040,478.5
310M100US17660,17660,"United States - In metropolitan statistical area - Coeur d'Alene, ID MSA","Coeur d'Alene, ID MSA",138494,63177,1315.62,71.5,1244.12,111.3,50.8
310M100US17780,17780,"United States - In metropolitan statistical area - College Station-Bryan, TX MSA","College Station-Bryan, TX MSA",228660,95016,2133.4,33.25,2100.15,108.9,45.2
310M100US17820,17820,"United States - In metropolitan statistical area - Colorado Springs, CO MSA","Colorado Springs, CO MSA",645613,265495,2688.51,4.65,2683.86,240.6,98.9
310M100US17860,17860,"United States - In metropolitan statistical area - Columbia, MO MSA","Columbia, MO MSA",172786,74133,1162.51,13.25,1149.26,150.3,64.5
310M100US17900,17900,"United States - In metropolitan statistical area - Columbia, SC MSA","Columbia, SC MSA",767598,331470,3834.02,131.27,3702.75,207.3,89.5
310M100US17980,17980,"United States - In metropolitan statistical area - Columbus, GA-AL MSA","Columbus, GA-AL MSA",294865,128214,1959.8,23.67,1936.13,152.3,66.2
310M100US18020,18020,"United States - In metropolitan statistical area - Columbus, IN MSA","Columbus, IN MSA",76794,33098,409.52,2.62,406.91,188.7,81.3
310M100US18140,18140,"United States - In metropolitan statistical area - Columbus, OH MSA","Columbus, OH MSA",1836536,792340,4014.17,46.96,3967.2,462.9,199.7
310M100US18580,18580,"United States - In metropolitan statistical area - Corpus Christi, TX MSA","Corpus Christi, TX MSA",428185,182909,2401.53,617.53,1784.01,240,102.5
310M100US18700,18700,"United States - In metropolitan statistical area - Corvallis, OR MSA","Corvallis, OR MSA",85579,36245,678.61,2.67,675.94,126.6,53.6
310M100US18880,18880,"United States - In metropolitan statistical area - Crestview-Fort Walton Beach-Destin, FL MSA","Crestview-Fort Walton Beach-Destin, FL MSA",180822,92407,1082.08,151.83,930.25,194.4,99.3
310M100US19060,19060,"United States - In metropolitan statistical area - Cumberland, MD-WV MSA","Cumberland, MD-WV MSA",103299,46350,759.15,7.16,751.99,137.4,61.6
310M100US19100,19100,"United States - In metropolitan statistical area - Dallas-Fort Worth-Arlington, TX MSA","Dallas-Fort Worth-Arlington, TX MSA",6371773,2502075,9285.22,357.72,8927.5,713.7,280.3
310M100US19140,19140,"United States - In metropolitan statistical area - Dalton, GA MSA","Dalton, GA MSA",142227,55878,637.72,2.79,634.93,224,88
310M100US19180,19180,"United States - In metropolitan statistical area - Danville, IL MSA","Danville, IL MSA",81625,36318,901.28,2.91,898.37,90.9,40.4
310M100US19260,19260,"United States - In metropolitan statistical area - Danville, VA MSA","Danville, VA MSA",106561,53745,1022.12,10.25,1011.88,105.3,53.1
310M100US19340,19340,"United States - In metropolitan statistical area - Davenport-Moline-Rock Island, IA-IL MSA","Davenport-Moline-Rock Island, IA-IL MSA",379690,167110,2313.84,43.92,2269.91,167.3,73.6
310M100US19380,19380,"United States - In metropolitan statistical area - Dayton, OH MSA","Dayton, OH MSA",841502,385160,1716.71,10.73,1705.98,493.3,225.8
310M100US19460,19460,"United States - In metropolitan statistical area - Decatur, AL MSA","Decatur, AL MSA",153829,66422,1316.25,46.24,1270.01,121.1,52.3
310M100US19500,19500,"United States - In metropolitan statistical area - Decatur, IL MSA","Decatur, IL MSA",110768,50475,585.86,5.18,580.69,190.8,86.9
310M100US19660,19660,"United States - In metropolitan statistical area - Deltona-Daytona Beach-Ormond Beach, FL MSA","Deltona-Daytona Beach-Ormond Beach, FL MSA",494593,254226,1432.44,331.4,1101.03,449.2,230.9
310M100US19740,19740,"United States - In metropolitan statistical area - Denver-Aurora-Broomfield, CO MSA","Denver-Aurora-Broomfield, CO MSA",2543482,1078837,8402.89,56.83,8346.06,304.8,129.3
