CBSA,Core Based Statistical Area,Pollutant,Trend Statistic,Number of Trend Sites,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Target Geo Id 2000,Target Geo Id2 2000,Geographical Area_x,MSA,Population 2000,Housing  units 2000,Area in square miles - Total area 2000,Area in square miles - Water area 2000,Area in square miles - Land area 2000,Density per square mile of land area - Population 2000,Density per square mile of land area - Housing  units 2000,Target Geo Id 2010,Target Geo Id2 2010,Geographical Area_y,Population 2010,Housing units 2010,Area in square miles - Total area 2010,Area in square miles - Water area 2010,Area in square miles - Land area 2010,Density per square mile of land area - Population 2010,Density per square mile of land area - Housing units 2010
45300,"Tampa-St. Petersburg-Clearwater, FL",PM10,2nd Max,3,46.3,46,50.7,51.3,56.7,49,47,63.7,61.7,44.7,49.3,49.3,41,41.7,37.3,43.3,48,52.3,46.7,34.7,41.7,32,35.7,30,44.7,42.7,32.7,3800000US8280,8280,"United States - In metropolitan statistical area - Tampa-St. Petersburg-Clearwater, FL MSA","Tampa-St. Petersburg-Clearwater, FL MSA",2395997,1143979,3330.93,776.95,2553.98,938.1,447.9,310M100US45300,45300,"United States - In metropolitan statistical area - Tampa-St. Petersburg-Clearwater, FL MSA",2783243,1353158,3331.37,817.93,2513.44,1107.3,538.4
45300,"Tampa-St. Petersburg-Clearwater, FL",NO2,Annual Mean,2,13,12,11,11,10,11,10,10,11,13,12,11,11,10,9,8,8,8,7,6,6,5,5,5,5,4,4,3800000US8280,8280,"United States - In metropolitan statistical area - Tampa-St. Petersburg-Clearwater, FL MSA","Tampa-St. Petersburg-Clearwater, FL MSA",2395997,1143979,3330.93,776.95,2553.98,938.1,447.9,310M100US45300,45300,"United States - In metropolitan statistical area - Tampa-St. Petersburg-Clearwater, FL MSA",2783243,1353158,3331.37,817.93,2513.44,1107.3,538.4
45300,"Tampa-St. Petersburg-Clearwater, FL",O3,4th Max,7,0.08,0.07,0.074,0.071,0.075,0.075,0.074,0.08,0.091,0.084,0.081,0.081,0.069,0.077,0.074,0.075,0.074,0.075,0.075,0.064,0.067,0.071,0.066,0.066,0.065,0.062,0.064,3800000US8280,8280,"United States - In metropolitan statistical area - Tampa-St. Petersburg-Clearwater, FL MSA","Tampa-St. Petersburg-Clearwater, FL MSA",2395997,1143979,3330.93,776.95,2553.98,938.1,447.9,310M100US45300,45300,"United States - In metropolitan statistical area - Tampa-St. Petersburg-Clearwater, FL MSA",2783243,1353158,3331.37,817.93,2513.44,1107.3,538.4
45460,"Terre Haute, IN",SO2,99th Percentile,2,154,148,160,134,159,112,128,88,126,129,121,154,99,113,132,119,102,112,129,128,115,117,100,91,103,87,89,3800000US8320,8320,"United States - In metropolitan statistical area - Terre Haute, IN MSA","Terre Haute, IN MSA",149192,63705,1030.8,13,1017.8,146.6,62.6,310M100US45460,45460,"United States - In metropolitan statistical area - Terre Haute, IN MSA",172425,74136,1484.82,19.94,1464.87,117.7,50.6
45460,"Terre Haute, IN",PM10,2nd Max,1,87,66,53,65,55,61,46,53,52,48,54,47,43,54,43,54,38,54,38,42,44,38,36,32,35,35,29,3800000US8320,8320,"United States - In metropolitan statistical area - Terre Haute, IN MSA","Terre Haute, IN MSA",149192,63705,1030.8,13,1017.8,146.6,62.6,310M100US45460,45460,"United States - In metropolitan statistical area - Terre Haute, IN MSA",172425,74136,1484.82,19.94,1464.87,117.7,50.6
45460,"Terre Haute, IN",O3,4th Max,1,0.087,0.088,0.069,0.074,0.094,0.085,0.098,0.083,0.084,0.082,0.075,0.082,0.082,0.066,0.057,0.064,0.06,0.077,0.059,0.058,0.063,0.067,0.075,0.061,0.062,0.064,0.069,3800000US8320,8320,"United States - In metropolitan statistical area - Terre Haute, IN MSA","Terre Haute, IN MSA",149192,63705,1030.8,13,1017.8,146.6,62.6,310M100US45460,45460,"United States - In metropolitan statistical area - Terre Haute, IN MSA",172425,74136,1484.82,19.94,1464.87,117.7,50.6
45780,"Toledo, OH",O3,4th Max,1,0.088,0.088,0.08,0.089,0.091,0.091,0.091,0.085,0.081,0.086,0.078,0.091,0.096,0.094,0.078,0.087,0.074,0.078,0.073,0.072,0.072,0.074,0.082,0.065,0.065,0.064,0.063,3800000US8400,8400,"United States - In metropolitan statistical area - Toledo, OH MSA","Toledo, OH MSA",618203,259959,1623.75,259.18,1364.57,453,190.5,310M100US45780,45780,"United States - In metropolitan statistical area - Toledo, OH MSA",651429,301322,2208.66,590.24,1618.42,402.5,186.2
46060,"Tucson, AZ",PM10,2nd Max,3,91,48,56.3,52,41,69,46.3,55.3,52.3,143,91,100,115.7,98.3,80.3,59.3,81,79.7,92,92,50.7,71.3,71,101.7,91.7,45,53,3800000US8520,8520,"United States - In metropolitan statistical area - Tucson, AZ MSA","Tucson, AZ MSA",843746,366737,9188.83,2.57,9186.27,91.8,39.9,310M100US46060,46060,"United States - In metropolitan statistical area - Tucson, AZ MSA",980263,440909,9189.1,2.06,9187.04,106.7,48
46060,"Tucson, AZ",NO2,98th Percentile,1,74,62,62,62,65,63,60,59,55,59,60,53,55,54,52,47,45,49,49,44,46,47,47,44,43,40,34,3800000US8520,8520,"United States - In metropolitan statistical area - Tucson, AZ MSA","Tucson, AZ MSA",843746,366737,9188.83,2.57,9186.27,91.8,39.9,310M100US46060,46060,"United States - In metropolitan statistical area - Tucson, AZ MSA",980263,440909,9189.1,2.06,9187.04,106.7,48
46060,"Tucson, AZ",NO2,Annual Mean,1,19,18,16,18,19,19,18,18,17,18,17,15,17,17,15,15,16,13,13,12,12,12,11,10,10,9,8,3800000US8520,8520,"United States - In metropolitan statistical area - Tucson, AZ MSA","Tucson, AZ MSA",843746,366737,9188.83,2.57,9186.27,91.8,39.9,310M100US46060,46060,"United States - In metropolitan statistical area - Tucson, AZ MSA",980263,440909,9189.1,2.06,9187.04,106.7,48
46060,"Tucson, AZ",CO,2nd Max,3,4.6,4.4,4.7,4.5,4.6,4.3,4,3.5,3.1,3.1,3.5,2.4,2.2,2.4,1.9,2,1.7,1.5,1.3,1.1,1.1,1.2,1.1,1,1,1.1,0.9,3800000US8520,8520,"United States - In metropolitan statistical area - Tucson, AZ MSA","Tucson, AZ MSA",843746,366737,9188.83,2.57,9186.27,91.8,39.9,310M100US46060,46060,"United States - In metropolitan statistical area - Tucson, AZ MSA",980263,440909,9189.1,2.06,9187.04,106.7,48
46060,"Tucson, AZ",O3,4th Max,4,0.073,0.073,0.072,0.077,0.074,0.078,0.074,0.073,0.073,0.07,0.074,0.067,0.075,0.074,0.069,0.075,0.072,0.07,0.071,0.066,0.068,0.072,0.069,0.069,0.065,0.065,0.065,3800000US8520,8520,"United States - In metropolitan statistical area - Tucson, AZ MSA","Tucson, AZ MSA",843746,366737,9188.83,2.57,9186.27,91.8,39.9,310M100US46060,46060,"United States - In metropolitan statistical area - Tucson, AZ MSA",980263,440909,9189.1,2.06,9187.04,106.7,48
46140,"Tulsa, OK",SO2,99th Percentile,1,129,143,157,128,98,69,84,74,72,86,72,96,58,60,103,70,66,60,85,63,63,68,55,42,14,11,17,3800000US8560,8560,"United States - In metropolitan statistical area - Tulsa, OK MSA","Tulsa, OK MSA",803235,341415,5163,148.51,5014.5,160.2,68.1,310M100US46140,46140,"United States - In metropolitan statistical area - Tulsa, OK MSA",937478,409820,6460.09,190.85,6269.24,149.5,65.4
46140,"Tulsa, OK",O3,4th Max,2,0.09,0.086,0.078,0.076,0.085,0.094,0.085,0.082,0.087,0.088,0.089,0.081,0.083,0.085,0.071,0.078,0.081,0.071,0.073,0.07,0.071,0.083,0.084,0.07,0.064,0.064,0.065,3800000US8560,8560,"United States - In metropolitan statistical area - Tulsa, OK MSA","Tulsa, OK MSA",803235,341415,5163,148.51,5014.5,160.2,68.1,310M100US46140,46140,"United States - In metropolitan statistical area - Tulsa, OK MSA",937478,409820,6460.09,190.85,6269.24,149.5,65.4
46540,"Utica-Rome, NY",O3,4th Max,1,0.074,0.074,0.074,0.066,0.07,0.076,0.062,0.072,0.071,0.074,0.067,0.076,0.079,0.075,0.064,0.068,0.067,0.075,0.069,0.067,0.065,0.058,0.065,0.061,0.057,0.061,0.071,3800000US8680,8680,"United States - In metropolitan statistical area - Utica-Rome, NY MSA","Utica-Rome, NY MSA",299896,134829,2715.47,91.51,2623.95,114.3,51.4,310M100US46540,46540,"United States - In metropolitan statistical area - Utica-Rome, NY MSA",299397,137561,2715.61,91.71,2623.9,114.1,52.4
47020,"Victoria, TX",O3,4th Max,1,0.078,0.078,0.078,0.081,0.078,0.087,0.071,0.078,0.078,0.086,0.079,0.073,0.078,0.084,0.075,0.071,0.071,0.066,0.062,0.068,0.068,0.074,0.066,0.062,0.062,0.07,0.064,3800000US8750,8750,"United States - In metropolitan statistical area - Victoria, TX MSA","Victoria, TX MSA",84088,32945,888.73,6.23,882.5,95.3,37.3,310M100US47020,47020,"United States - In metropolitan statistical area - Victoria, TX MSA",115384,50537,2780.88,539.88,2241,51.5,22.6
48140,"Wausau, WI",O3,4th Max,1,0.081,0.081,0.081,0.066,0.064,0.075,0.07,0.068,0.077,0.084,0.073,0.072,0.073,0.074,0.065,0.075,0.066,0.072,0.064,0.06,0.06,0.065,0.069,0.063,0.064,0.063,0.064,3800000US8940,8940,"United States - In metropolitan statistical area - Wausau, WI MSA","Wausau, WI MSA",125834,50360,1576.14,31.18,1544.96,81.4,32.6,310M100US48140,48140,"United States - In metropolitan statistical area - Wausau, WI MSA",134063,57734,1576.31,31.33,1544.98,86.8,37.4
48540,"Wheeling, WV-OH",SO2,99th Percentile,1,286,286,286,299,289,278,241,309,290,284,177,191,137,154,175,157,147,161,113,61,101,79,55,49,43,38,8,3800000US9000,9000,"United States - In metropolitan statistical area - Wheeling, WV-OH MSA","Wheeling, WV-OH MSA",153172,69216,962.43,11.91,950.52,161.1,72.8,310M100US48540,48540,"United States - In metropolitan statistical area - Wheeling, WV-OH MSA",147950,69542,962.45,19.07,943.38,156.8,73.7
48620,"Wichita, KS",PM10,2nd Max,2,68.5,78,60,106,76.5,79,182,51,71,62.5,78,70.5,65,50.5,46,44,73.5,55,61,49,54,74.5,87.5,77,105.5,62.5,81.5,3800000US9040,9040,"United States - In metropolitan statistical area - Wichita, KS MSA","Wichita, KS MSA",545220,227687,2996.34,29.78,2966.56,183.8,76.8,310M100US48620,48620,"United States - In metropolitan statistical area - Wichita, KS MSA",623061,263043,4181.33,32.26,4149.07,150.2,63.4
48620,"Wichita, KS",O3,4th Max,1,0.077,0.072,0.07,0.059,0.067,0.069,0.074,0.079,0.083,0.079,0.08,0.084,0.079,0.08,0.068,0.074,0.073,0.06,0.067,0.072,0.075,0.079,0.08,0.071,0.069,0.064,0.062,3800000US9040,9040,"United States - In metropolitan statistical area - Wichita, KS MSA","Wichita, KS MSA",545220,227687,2996.34,29.78,2966.56,183.8,76.8,310M100US48620,48620,"United States - In metropolitan statistical area - Wichita, KS MSA",623061,263043,4181.33,32.26,4149.07,150.2,63.4
48900,"Wilmington, NC",O3,4th Max,1,0.082,0.083,0.083,0.083,0.082,0.079,0.076,0.083,0.087,0.067,0.08,0.078,0.08,0.076,0.07,0.075,0.072,0.071,0.063,0.06,0.062,0.064,0.064,0.064,0.063,0.057,0.06,3800000US9200,9200,"United States - In metropolitan statistical area - Wilmington, NC MSA","Wilmington, NC MSA",233450,131047,1377.93,324.2,1053.73,221.5,124.4,310M100US48900,48900,"United States - In metropolitan statistical area - Wilmington, NC MSA",362315,205642,2310.81,402.51,1908.3,189.9,107.8
49700,"Yuba City, CA",NO2,98th Percentile,1,70,70,70,70,65,66,61,61,51,69,67,64,62,62,52,51,53,47,54,47,45,44,46,52,44,39,39,3800000US9340,9340,"United States - In metropolitan statistical area - Yuba City, CA MSA","Yuba City, CA MSA",139149,50955,1252.31,19.08,1233.24,112.8,41.3,310M100US49700,49700,"United States - In metropolitan statistical area - Yuba City, CA MSA",166892,61493,1252.3,18.05,1234.25,135.2,49.8
49700,"Yuba City, CA",NO2,Annual Mean,1,17,17,17,17,16,13,12,14,13,14,13,14,15,14,12,12,12,12,12,9,8,8,10,10,8,7,7,3800000US9340,9340,"United States - In metropolitan statistical area - Yuba City, CA MSA","Yuba City, CA MSA",139149,50955,1252.31,19.08,1233.24,112.8,41.3,310M100US49700,49700,"United States - In metropolitan statistical area - Yuba City, CA MSA",166892,61493,1252.3,18.05,1234.25,135.2,49.8
49700,"Yuba City, CA",O3,4th Max,1,0.076,0.08,0.09,0.078,0.089,0.085,0.085,0.072,0.088,0.083,0.079,0.081,0.08,0.076,0.073,0.073,0.078,0.072,0.068,0.066,0.066,0.064,0.069,0.06,0.069,0.064,0.063,3800000US9340,9340,"United States - In metropolitan statistical area - Yuba City, CA MSA","Yuba City, CA MSA",139149,50955,1252.31,19.08,1233.24,112.8,41.3,310M100US49700,49700,"United States - In metropolitan statistical area - Yuba City, CA MSA",166892,61493,1252.3,18.05,1234.25,135.2,49.8
10420,"Akron, OH",SO2,99th Percentile,1,161,183,181,209,132,123,133,155,143,158,163,132,145,167,172,140,138,46,34,31,27,24,22,23,21,14,8,3850000US16920080,16920080,"United States - In metropolitan statistical area - Cleveland-Akron, OH MSA - Akron, OH MSA","Akron, OH MSA",694960,290976,927.17,22.06,905.11,767.8,321.5,310M100US10420,10420,"United States - In metropolitan statistical area - Akron, OH MSA",703200,312581,924.12,23.99,900.13,781.2,347.3
10420,"Akron, OH",CO,2nd Max,1,5.7,3.3,4.1,3.1,5.3,3.3,3.4,3.2,2.6,2.5,2.4,2.7,1.8,1.9,2.1,1.6,1.4,1.4,1.3,1.8,1.4,1,1.1,0.8,0.8,1,1.1,3850000US16920080,16920080,"United States - In metropolitan statistical area - Cleveland-Akron, OH MSA - Akron, OH MSA","Akron, OH MSA",694960,290976,927.17,22.06,905.11,767.8,321.5,310M100US10420,10420,"United States - In metropolitan statistical area - Akron, OH MSA",703200,312581,924.12,23.99,900.13,781.2,347.3
10420,"Akron, OH",O3,4th Max,2,0.09,0.101,0.087,0.093,0.086,0.092,0.091,0.087,0.097,0.097,0.085,0.096,0.1,0.09,0.079,0.091,0.074,0.087,0.075,0.067,0.074,0.073,0.072,0.059,0.06,0.065,0.06,3850000US16920080,16920080,"United States - In metropolitan statistical area - Cleveland-Akron, OH MSA - Akron, OH MSA","Akron, OH MSA",694960,290976,927.17,22.06,905.11,767.8,321.5,310M100US10420,10420,"United States - In metropolitan statistical area - Akron, OH MSA",703200,312581,924.12,23.99,900.13,781.2,347.3
24540,"Greeley, CO",PM10,2nd Max,1,66,80,60,99,57,59,56,56,39,47,58,46,51,41,85,48,52,65,60,61,43,46,91,47,60,57,51,3850000US20823060,20823060,"United States - In metropolitan statistical area - Denver-Boulder-Greeley, CO MSA - Greeley, CO MSA","Greeley, CO MSA",180936,66194,4021.56,29.11,3992.45,45.3,16.6,310M100US24540,24540,"United States - In metropolitan statistical area - Greeley, CO MSA",252825,96281,4016.8,29.56,3987.24,63.4,24.1
22420,"Flint, MI",O3,4th Max,2,0.076,0.08,0.07,0.07,0.075,0.081,0.087,0.083,0.089,0.092,0.073,0.091,0.089,0.089,0.076,0.08,0.074,0.083,0.069,0.068,0.068,0.073,0.084,0.066,0.068,0.067,0.073,3850000US21622640,21622640,"United States - In metropolitan statistical area - Detroit-Ann Arbor-Flint, MI MSA - Flint, MI MSA","Flint, MI MSA",436141,183630,649.34,9.7,639.64,681.9,287.1,310M100US22420,22420,"United States - In metropolitan statistical area - Flint, MI MSA",425790,192180,649.59,12.61,636.98,668.5,301.7
47220,"Vineland-Bridgeton, NJ",O3,4th Max,1,0.11,0.107,0.087,0.103,0.086,0.091,0.086,0.104,0.098,0.096,0.094,0.101,0.101,0.085,0.083,0.085,0.083,0.083,0.079,0.072,0.077,0.066,0.084,0.061,0.067,0.068,0.069,3850000US61628760,61628760,"United States - In metropolitan statistical area - Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD MSA - Vineland-Millville-Bridgeton, NJ MSA","Vineland-Millville-Bridgeton, NJ MSA",146438,52863,676.59,187.29,489.3,299.3,108,310M100US47220,47220,"United States - In metropolitan statistical area - Vineland-Millville-Bridgeton, NJ MSA",156898,55834,677.62,193.92,483.7,324.4,115.4
