MSA,Target Geo Id2,Population 1990,Population 1991,Population 1992,Population 1993,Population 1994,Population 1995,Population 1996,Population 1997,Population 1998,Population 1999,Population 2000, Population 2001, Population 2002, Population 2003, Population 2004, Population 2005, Population 2006, Population 2007, Population 2008, Population 2009,Population 2010,Density 1990,Density 1991,Density 1992,Density 1993,Density 1994,Density 1995,Density 1996,Density 1997,Density 1998,Density 1999,Density 2000,Density 2001,Density 2002,Density 2003,Density 2004,Density 2005,Density 2006,Density 2007,Density 2008,Density 2009,Density 2010
"Jacksonville, FL MSA",27260,906727,926103.4,945479.8,964856.2,984232.6,1003609,1022985.4,1042361.8,1061738.2,1081114.6,1100491,1125001.5,1149512,1174022.5,1198533,1223043.5,1247554,1272064.5,1296575,1321085.5,1345596,344,351.36,358.72,366.08,373.44,380.8,388.16,395.52,402.88,410.24,417.6,417.88,418.16,418.44,418.72,419,419.28,419.56,419.84,420.12,420.4
"Jacksonville, NC MSA",27340,149838,149889.7,149941.4,149993.1,150044.8,150096.5,150148.2,150199.9,150251.6,150303.3,150355,153096.7,155838.4,158580.1,161321.8,164063.5,166805.2,169546.9,172288.6,175030.3,177772,195.4,195.47,195.54,195.61,195.68,195.75,195.82,195.89,195.96,196.03,196.1,199.8,203.5,207.2,210.9,214.6,218.3,222,225.7,229.4,233.1
"Jamestown, NY MSA",,141895,141680.5,141466,141251.5,141037,140822.5,140608,140393.5,140179,139964.5,139750,,,,,,,,,,,133.6,133.4,133.2,133,132.8,132.6,132.4,132.2,132,131.8,131.6,,,,,,,,,,
"Janesville--Beloit, WI MSA",27500,139510,140789.7,142069.4,143349.1,144628.8,145908.5,147188.2,148467.9,149747.6,151027.3,152307,153109.4,153911.8,154714.2,155516.6,156319,157121.4,157923.8,158726.2,159528.6,160331,193.6,195.38,197.16,198.94,200.72,202.5,204.28,206.06,207.84,209.62,211.4,212.59,213.78,214.97,216.16,217.35,218.54,219.73,220.92,222.11,223.3
"Jersey City, NJ PMSA",,553099,558686.6,564274.2,569861.8,575449.4,581037,586624.6,592212.2,597799.8,603387.4,608975,,,,,,,,,,,11855.3,11974.13,12092.96,12211.79,12330.62,12449.45,12568.28,12687.11,12805.94,12924.77,13043.6,,,,,,,,,,
"Johnson City--Kingsport--Bristol, TN--VA MSA",,436047,440451.4,444855.8,449260.2,453664.6,458069,462473.4,466877.8,471282.2,475686.6,480091,,,,,,,,,,,152.2,153.73,155.26,156.79,158.32,159.85,161.38,162.91,164.44,165.97,167.5,,,,,,,,,,
"Johnstown, PA MSA",27780,241247,240384.4,239521.8,238659.2,237796.6,236934,236071.4,235208.8,234346.2,233483.6,232621,223726.8,214832.6,205938.4,197044.2,188150,179255.8,170361.6,161467.4,152573.2,143679,136.9,136.41,135.92,135.43,134.94,134.45,133.96,133.47,132.98,132.49,132,139.67,147.34,155.01,162.68,170.35,178.02,185.69,193.36,201.03,208.7
"Jonesboro, AR MSA",27860,27500,8214.8,16429.6,24644.4,32859.2,41074,49288.8,57503.6,65718.4,73933.2,82148,86035.8,89923.6,93811.4,97699.2,101587,105474.8,109362.6,113250.4,117138.2,121026,,,,,,,,,,,115.6,112.3,109,105.7,102.4,99.1,95.8,92.5,89.2,85.9,82.6
"Joplin, MO MSA",27900,134910,137151.2,139392.4,141633.6,143874.8,146116,148357.2,150598.4,152839.6,155080.8,157322,159141.6,160961.2,162780.8,164600.4,166420,168239.6,170059.2,171878.8,173698.4,175518,106.5,108.28,110.06,111.84,113.62,115.4,117.18,118.96,120.74,122.52,124.3,125.76,127.22,128.68,130.14,131.6,133.06,134.52,135.98,137.44,138.9
"Kalamazoo--Battle Creek, MI MSA",28020,223411,246355,269299,292243,315187,338131,361075,384019,406963,429907,452851,440224.8,427598.6,414972.4,402346.2,389720,377093.8,364467.6,351841.4,339215.2,326589,397.6,381.91,366.22,350.53,334.84,319.15,303.46,287.77,272.08,256.39,240.7,244.56,248.42,252.28,256.14,260,263.86,267.72,271.58,275.44,279.3
"Kankakee, IL PMSA",28100,96255,97012.8,97770.6,98528.4,99286.2,100044,100801.8,101559.6,102317.4,103075.2,103833,104794.6,105756.2,106717.8,107679.4,108641,109602.6,110564.2,111525.8,112487.4,113449,142.1,143.23,144.36,145.49,146.62,147.75,148.88,150.01,151.14,152.27,153.4,154.83,156.26,157.69,159.12,160.55,161.98,163.41,164.84,166.27,167.7
