MSA,Target Geo Id2,Population 1990,Population 1991,Population 1992,Population 1993,Population 1994,Population 1995,Population 1996,Population 1997,Population 1998,Population 1999,Population 2000, Population 2001, Population 2002, Population 2003, Population 2004, Population 2005, Population 2006, Population 2007, Population 2008, Population 2009,Population 2010,Density 1990,Density 1991,Density 1992,Density 1993,Density 1994,Density 1995,Density 1996,Density 1997,Density 1998,Density 1999,Density 2000,Density 2001,Density 2002,Density 2003,Density 2004,Density 2005,Density 2006,Density 2007,Density 2008,Density 2009,Density 2010
"Trenton, NJ PMSA",45940,325824,328317.7,330811.4,333305.1,335798.8,338292.5,340786.2,343279.9,345773.6,348267.3,350761,352336.2,353911.4,355486.6,357061.8,358637,360212.2,361787.4,363362.6,364937.8,366513,1442,1453.05,1464.1,1475.15,1486.2,1497.25,1508.3,1519.35,1530.4,1541.45,1552.5,1560.47,1568.44,1576.41,1584.38,1592.35,1600.32,1608.29,1616.26,1624.23,1632.2
"Tucson, AZ MSA",46060,666880,684566.6,702253.2,719939.8,737626.4,755313,772999.6,790686.2,808372.8,826059.4,843746,857397.7,871049.4,884701.1,898352.8,912004.5,925656.2,939307.9,952959.6,966611.3,980263,72.6,74.52,76.44,78.36,80.28,82.2,84.12,86.04,87.96,89.88,91.8,93.29,94.78,96.27,97.76,99.25,100.74,102.23,103.72,105.21,106.7
"Tulsa, OK MSA",46140,708954,718382.1,727810.2,737238.3,746666.4,756094.5,765522.6,774950.7,784378.8,793806.9,803235,816659.3,830083.6,843507.9,856932.2,870356.5,883780.8,897205.1,910629.4,924053.7,937478,141.4,143.28,145.16,147.04,148.92,150.8,152.68,154.56,156.44,158.32,160.2,159.13,158.06,156.99,155.92,154.85,153.78,152.71,151.64,150.57,149.5
"Tuscaloosa, AL MSA",46220,150522,151957.3,153392.6,154827.9,156263.2,157698.5,159133.8,160569.1,162004.4,163439.7,164875,170333.6,175792.2,181250.8,186709.4,192168,197626.6,203085.2,208543.8,214002.4,219461,113.6,114.69,115.78,116.87,117.96,119.05,120.14,121.23,122.32,123.41,124.5,120.45,116.4,112.35,108.3,104.25,100.2,96.15,92.1,88.05,84
"Tyler, TX MSA",46340,151309,153648.7,155988.4,158328.1,160667.8,163007.5,165347.2,167686.9,170026.6,172366.3,174706,178206.8,181707.6,185208.4,188709.2,192210,195710.8,199211.6,202712.4,206213.2,209714,163,165.52,168.04,170.56,173.08,175.6,178.12,180.64,183.16,185.68,188.2,192.14,196.08,200.02,203.96,207.9,211.84,215.78,219.72,223.66,227.6
"Utica--Rome, NY MSA",46540,316633,314959.3,313285.6,311611.9,309938.2,308264.5,306590.8,304917.1,303243.4,301569.7,299896,299846.1,299796.2,299746.3,299696.4,299646.5,299596.6,299546.7,299496.8,299446.9,299397,120.6,119.97,119.34,118.71,118.08,117.45,116.82,116.19,115.56,114.93,114.3,114.28,114.26,114.24,114.22,114.2,114.18,114.16,114.14,114.12,114.1
"Vallejo--Fairfield--Napa, CA PMSA",46700,451186,457949.5,464713,471476.5,478240,485003.5,491767,498530.5,505294,512057.5,518821,508273.3,497725.6,487177.9,476630.2,466082.5,455534.8,444987.1,434439.4,423891.7,413344,285.2,289.46,293.72,297.98,302.24,306.5,310.76,315.02,319.28,323.54,327.8,345.32,362.84,380.36,397.88,415.4,432.92,450.44,467.96,485.48,503
"Ventura, CA PMSA",,,,,,,,,,,,753197,,,,,,,,,,,,,,,,,,,,,408.2,,,,,,,,,,
"Victoria, TX MSA",47020,74361,75333.7,76306.4,77279.1,78251.8,79224.5,80197.2,81169.9,82142.6,83115.3,84088,87217.6,90347.2,93476.8,96606.4,99736,102865.6,105995.2,109124.8,112254.4,115384,84.3,85.4,86.5,87.6,88.7,89.8,90.9,92,93.1,94.2,95.3,90.92,86.54,82.16,77.78,73.4,69.02,64.64,60.26,55.88,51.5
"Vineland--Millville--Bridgeton, NJ PMSA",47220,138053,138891.5,139730,140568.5,141407,142245.5,143084,143922.5,144761,145599.5,146438,147484,148530,149576,150622,151668,152714,153760,154806,155852,156898,282.1,283.82,285.54,287.26,288.98,290.7,292.42,294.14,295.86,297.58,299.3,301.81,304.32,306.83,309.34,311.85,314.36,316.87,319.38,321.89,324.4
"Visalia--Tulare--Porterville, CA MSA",47300,311921,317531,323141,328751,334361,339971,345581,351191,356801,362411,368021,375436.8,382852.6,390268.4,397684.2,405100,412515.8,419931.6,427347.4,434763.2,442179,64.7,65.86,67.02,68.18,69.34,70.5,71.66,72.82,73.98,75.14,76.3,77.84,79.38,80.92,82.46,84,85.54,87.08,88.62,90.16,91.7
"Waco, TX MSA",47380,189123,191562.4,194001.8,196441.2,198880.6,201320,203759.4,206198.8,208638.2,211077.6,213517,215655.9,217794.8,219933.7,222072.6,224211.5,226350.4,228489.3,230628.2,232767.1,234906,181.5,183.84,186.18,188.52,190.86,193.2,195.54,197.88,200.22,202.56,204.9,207.06,209.22,211.38,213.54,215.7,217.86,220.02,222.18,224.34,226.5
"Washington, DC--MD--VA--WV PMSA",,3923574,4023531.9,4123489.8,4223447.7,4323405.6,4423363.5,4523321.4,4623279.3,4723237.2,4823195.1,4923153,,,,,,,,,,,989.1,965.82,942.54,919.26,895.98,872.7,849.42,826.14,802.86,779.58,756.3,,,,,,,,,,
"Washington--Baltimore, DC--MD--VA--WV CMSA",,,,,,,,,,,,7608070,,,,,,,,,,,,,,,,,,,,,794.5,,,,,,,,,,
"Waterbury, CT PMSA",,221629,222364.5,223100,223835.5,224571,225306.5,226042,226777.5,227513,228248.5,228984,,,,,,,,,,,949.1,952.25,955.4,958.55,961.7,964.85,968,971.15,974.3,977.45,980.6,,,,,,,,,,
"Waterloo--Cedar Falls, IA MSA",47940,146611,144751.1,142891.2,141031.3,139171.4,137311.5,135451.6,133591.7,131731.8,129871.9,128012,131992.7,135973.4,139954.1,143934.8,147915.5,151896.2,155876.9,159857.6,163838.3,167819,145.8,153.79,161.78,169.77,177.76,185.75,193.74,201.73,209.72,217.71,225.7,214.29,202.88,191.47,180.06,168.65,157.24,145.83,134.42,123.01,111.6
"Wausau, WI MSA",48140,115400,116443.4,117486.8,118530.2,119573.6,120617,121660.4,122703.8,123747.2,124790.6,125834,126656.9,127479.8,128302.7,129125.6,129948.5,130771.4,131594.3,132417.2,133240.1,134063,74.7,75.37,76.04,76.71,77.38,78.05,78.72,79.39,80.06,80.73,81.4,81.94,82.48,83.02,83.56,84.1,84.64,85.18,85.72,86.26,86.8
"West Palm Beach--Boca Raton, FL MSA",,863518,890284.6,917051.2,943817.8,970584.4,997351,1024117.6,1050884.2,1077650.8,1104417.4,1131184,,,,,,,,,,,424.5,439.35,454.2,469.05,483.9,498.75,513.6,528.45,543.3,558.15,573,,,,,,,,,,
"Wheeling, WV--OH MSA",48540,159301,158688.1,158075.2,157462.3,156849.4,156236.5,155623.6,155010.7,154397.8,153784.9,153172,152649.8,152127.6,151605.4,151083.2,150561,150038.8,149516.6,148994.4,148472.2,147950,167.6,166.95,166.3,165.65,165,164.35,163.7,163.05,162.4,161.75,161.1,160.67,160.24,159.81,159.38,158.95,158.52,158.09,157.66,157.23,156.8
"Wichita Falls, TX MSA",48660,122378,124192,126006,127820,129634,131448,133262,135076,136890,138704,140518,141596.8,142675.6,143754.4,144833.2,145912,146990.8,148069.6,149148.4,150227.2,151306,195,184.64,174.28,163.92,153.56,143.2,132.84,122.48,112.12,101.76,91.4,97.28,103.16,109.04,114.92,120.8,126.68,132.56,138.44,144.32,150.2
"Wichita, KS MSA",48620,485270,491265,497260,503255,509250,515245,521240,527235,533230,539225,545220,553004.1,560788.2,568572.3,576356.4,584140.5,591924.6,599708.7,607492.8,615276.9,623061,163.5,165.53,167.56,169.59,171.62,173.65,175.68,177.71,179.74,181.77,183.8,171.2,158.6,146,133.4,120.8,108.2,95.6,83,70.4,57.8
"Williamsport, PA MSA",48700,118710,118843.4,118976.8,119110.2,119243.6,119377,119510.4,119643.8,119777.2,119910.6,120044,119650.7,119257.4,118864.1,118470.8,118077.5,117684.2,117290.9,116897.6,116504.3,116111,96.1,96.21,96.32,96.43,96.54,96.65,96.76,96.87,96.98,97.09,97.2,96.93,96.66,96.39,96.12,95.85,95.58,95.31,95.04,94.77,94.5
"Wilmington, NC MSA",48900,120284,131600.6,142917.2,154233.8,165550.4,176867,188183.6,199500.2,210816.8,222133.4,233450,246336.5,259223,272109.5,284996,297882.5,310769,323655.5,336542,349428.5,362315,520.2,490.33,460.46,430.59,400.72,370.85,340.98,311.11,281.24,251.37,221.5,218.34,215.18,212.02,208.86,205.7,202.54,199.38,196.22,193.06,189.9
"Wilmington--Newark, DE--MD PMSA",,578587,579349.9,580112.8,580875.7,581638.6,582401.5,583164.4,583927.3,584690.2,585453.1,586216,,,,,,,,,,,604.6,619.84,635.08,650.32,665.56,680.8,696.04,711.28,726.52,741.76,757,,,,,,,,,,
"Worcester, MA--CT PMSA",49340,436905,444353.4,451801.8,459250.2,466698.6,474147,481595.4,489043.8,496492.2,503940.6,511389,540105.3,568821.6,597537.9,626254.2,654970.5,683686.8,712403.1,741119.4,769835.7,798552,622.2,619.4,616.6,613.8,611,608.2,605.4,602.6,599.8,597,594.2,587.64,581.08,574.52,567.96,561.4,554.84,548.28,541.72,535.16,528.6
"Yakima, WA MSA",49420,188823,192198.8,195574.6,198950.4,202326.2,205702,209077.8,212453.6,215829.4,219205.2,222581,224646,226711,228776,230841,232906,234971,237036,239101,241166,243231,44,44.78,45.56,46.34,47.12,47.9,48.68,49.46,50.24,51.02,51.8,52.28,52.76,53.24,53.72,54.2,54.68,55.16,55.64,56.12,56.6
"Yolo, CA PMSA",,,,,,,,,,,,168660,,,,,,,,,,,,,,,,,,,,,166.5,,,,,,,,,,
"York, PA MSA",49620,417848,414238.3,410628.6,407018.9,403409.2,399799.5,396189.8,392580.1,388970.4,385360.7,381751,387073.1,392395.2,397717.3,403039.4,408361.5,413683.6,419005.7,424327.8,429649.9,434972,293.3,306.18,319.06,331.94,344.82,357.7,370.58,383.46,396.34,409.22,422.1,428,433.9,439.8,445.7,451.6,457.5,463.4,469.3,475.2,481.1
"Youngstown--Warren, OH MSA",49660,492619,502831.7,513044.4,523257.1,533469.8,543682.5,553895.2,564107.9,574320.6,584533.3,594746,591848.7,588951.4,586054.1,583156.8,580259.5,577362.2,574464.9,571567.6,568670.3,565773,477.8,468.04,458.28,448.52,438.76,429,419.24,409.48,399.72,389.96,380.2,375.41,370.62,365.83,361.04,356.25,351.46,346.67,341.88,337.09,332.3
"Yuba City, CA MSA",49700,122643,124293.6,125944.2,127594.8,129245.4,130896,132546.6,134197.2,135847.8,137498.4,139149,141923.3,144697.6,147471.9,150246.2,153020.5,155794.8,158569.1,161343.4,164117.7,166892,99.5,100.83,102.16,103.49,104.82,106.15,107.48,108.81,110.14,111.47,112.8,115.04,117.28,119.52,121.76,124,126.24,128.48,130.72,132.96,135.2
"Yuma, AZ MSA",49740,106895,112208.1,117521.2,122834.3,128147.4,133460.5,138773.6,144086.7,149399.8,154712.9,160026,163598.5,167171,170743.5,174316,177888.5,181461,185033.5,188606,192178.5,195751,19.4,20.36,21.32,22.28,23.24,24.2,25.16,26.12,27.08,28.04,29,29.65,30.3,30.95,31.6,32.25,32.9,33.55,34.2,34.85,35.5
2010 Data Not in 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ames, IA MSA",,,,,,,,,,,,,,,,,,,,,,89542,,,,,,,,,,,,,,,,,,,,,156.3
"Anderson, IN MSA",,,,,,,,,,,,,,,,,,,,,,131636,,,,,,,,,,,,,,,,,,,,,291.3
"Anderson, SC MSA",,,,,,,,,,,,,,,,,,,,,,187126,,,,,,,,,,,,,,,,,,,,,261.6
"Atlanta-Sandy Springs-Marietta, GA MSA",,,,,,,,,,,,,,,,,,,,,,5268860,,,,,,,,,,,,,,,,,,,,,631.9
"Atlantic City-Hammonton, NJ MSA",,,,,,,,,,,,,,,,,,,,,,274549,,,,,,,,,,,,,,,,,,,,,494.1
"Augusta-Richmond County, GA-SC MSA",,,,,,,,,,,,,,,,,,,,,,556877,,,,,,,,,,,,,,,,,,,,,170.3
"Battle Creek, MI MSA",,,,,,,,,,,,,,,,,,,,,,136146,,,,,,,,,,,,,,,,,,,,,192.8
"Bay City, MI MSA",,,,,,,,,,,,,,,,,,,,,,107771,,,,,,,,,,,,,,,,,,,,,243.7
"Bend, OR MSA",,,,,,,,,,,,,,,,,,,,,,157733,,,,,,,,,,,,,,,,,,,,,52.3
"Blacksburg-Christiansburg-Radford, VA MSA",,,,,,,,,,,,,,,,,,,,,,162958,,,,,,,,,,,,,,,,,,,,,151.9
"Bowling Green, KY MSA",,,,,,,,,,,,,,,,,,,,,,125953,,,,,,,,,,,,,,,,,,,,,149.1
"Bridgeport-Stamford-Norwalk, CT MSA",,,,,,,,,,,,,,,,,,,,,,916829,,,,,,,,,,,,,,,,,,,,,1467.2
"Brunswick, GA MSA",,,,,,,,,,,,,,,,,,,,,,112370,,,,,,,,,,,,,,,,,,,,,87.4
"Burlington-South Burlington, VT MSA",,,,,,,,,,,,,,,,,,,,,,211261,,,,,,,,,,,,,,,,,,,,,168.7
"Cape Coral-Fort Myers, FL MSA",,,,,,,,,,,,,,,,,,,,,,618754,,,,,,,,,,,,,,,,,,,,,788.7
"Cape Girardeau-Jackson, MO-IL MSA",,,,,,,,,,,,,,,,,,,,,,96275,,,,,,,,,,,,,,,,,,,,,67.2
"Carson City, NV MSA",,,,,,,,,,,,,,,,,,,,,,55274,,,,,,,,,,,,,,,,,,,,,382.1
"Chicago-Joliet-Naperville, IL-IN-WI MSA",,,,,,,,,,,,,,,,,,,,,,9461105,,,,,,,,,,,,,,,,,,,,,1314.6
"Coeur d'Alene, ID MSA",,,,,,,,,,,,,,,,,,,,,,138494,,,,,,,,,,,,,,,,,,,,,111.3
"College Station-Bryan, TX MSA",,,,,,,,,,,,,,,,,,,,,,228660,,,,,,,,,,,,,,,,,,,,,108.9
"Columbus, IN MSA",,,,,,,,,,,,,,,,,,,,,,76794,,,,,,,,,,,,,,,,,,,,,188.7
"Crestview-Fort Walton Beach-Destin, FL MSA",,,,,,,,,,,,,,,,,,,,,,180822,,,,,,,,,,,,,,,,,,,,,194.4
"Dalton, GA MSA",,,,,,,,,,,,,,,,,,,,,,142227,,,,,,,,,,,,,,,,,,,,,224
"Danville, IL MSA",,,,,,,,,,,,,,,,,,,,,,81625,,,,,,,,,,,,,,,,,,,,,90.9
"Dayton, OH MSA",,,,,,,,,,,,,,,,,,,,,,841502,,,,,,,,,,,,,,,,,,,,,493.3
"Deltona-Daytona Beach-Ormond Beach, FL MSA",,,,,,,,,,,,,,,,,,,,,,494593,,,,,,,,,,,,,,,,,,,,,449.2
"Durham-Chapel Hill, NC MSA",,,,,,,,,,,,,,,,,,,,,,504357,,,,,,,,,,,,,,,,,,,,,286.8
"El Centro, CA MSA",,,,,,,,,,,,,,,,,,,,,,174528,,,,,,,,,,,,,,,,,,,,,41.8
"Elizabethtown, KY MSA",,,,,,,,,,,,,,,,,,,,,,119736,,,,,,,,,,,,,,,,,,,,,135.3
"Fairbanks, AK MSA",,,,,,,,,,,,,,,,,,,,,,97581,,,,,,,,,,,,,,,,,,,,,13.3
"Farmington, NM MSA",,,,,,,,,,,,,,,,,,,,,,130044,,,,,,,,,,,,,,,,,,,,,23.6
"Fond du Lac, WI MSA",,,,,,,,,,,,,,,,,,,,,,101633,,,,,,,,,,,,,,,,,,,,,141.2
"Gainesville, GA MSA",,,,,,,,,,,,,,,,,,,,,,179684,,,,,,,,,,,,,,,,,,,,,457.5
"Grand Rapids-Wyoming, MI MSA",,,,,,,,,,,,,,,,,,,,,,774160,,,,,,,,,,,,,,,,,,,,,278
"Greensboro-High Point, NC MSA",,,,,,,,,,,,,,,,,,,,,,723801,,,,,,,,,,,,,,,,,,,,,363
"Greenville-Mauldin-Easley, SC MSA",,,,,,,,,,,,,,,,,,,,,,636986,,,,,,,,,,,,,,,,,,,,,319.2
"Gulfport-Biloxi, MS MSA",,,,,,,,,,,,,,,,,,,,,,248820,,,,,,,,,,,,,,,,,,,,,166.6
"Harrisonburg, VA MSA",,,,,,,,,,,,,,,,,,,,,,125228,,,,,,,,,,,,,,,,,,,,,144.5
"Hinesville-Fort Stewart, GA MSA",,,,,,,,,,,,,,,,,,,,,,77917,,,,,,,,,,,,,,,,,,,,,87.5
"Holland-Grand Haven, MI MSA",,,,,,,,,,,,,,,,,,,,,,263801,,,,,,,,,,,,,,,,,,,,,468.2
"Hot Springs, AR MSA",,,,,,,,,,,,,,,,,,,,,,96024,,,,,,,,,,,,,,,,,,,,,141.7
"Houma-Bayou Cane-Thibodaux, LA MSA",,,,,,,,,,,,,,,,,,,,,,208178,,,,,,,,,,,,,,,,,,,,,90.5
"Idaho Falls, ID MSA",,,,,,,,,,,,,,,,,,,,,,130374,,,,,,,,,,,,,,,,,,,,,44.1
"Ithaca, NY MSA",,,,,,,,,,,,,,,,,,,,,,101564,,,,,,,,,,,,,,,,,,,,,214
"Jefferson City, MO MSA",,,,,,,,,,,,,,,,,,,,,,149807,,,,,,,,,,,,,,,,,,,,,66.6
"Johnson City, TN MSA",,,,,,,,,,,,,,,,,,,,,,198716,,,,,,,,,,,,,,,,,,,,,232.7
"Kennewick-Pasco-Richland, WA MSA",,,,,,,,,,,,,,,,,,,,,,253340,,,,,,,,,,,,,,,,,,,,,86.1
"Kingsport-Bristol-Bristol, TN-VA MSA",,,,,,,,,,,,,,,,,,,,,,309544,,,,,,,,,,,,,,,,,,,,,154
"Kingston, NY MSA",,,,,,,,,,,,,,,,,,,,,,182493,,,,,,,,,,,,,,,,,,,,,162.3
"Lake Havasu City-Kingman, AZ MSA",,,,,,,,,,,,,,,,,,,,,,200186,,,,,,,,,,,,,,,,,,,,,15
"Lebanon, PA MSA",,,,,,,,,,,,,,,,,,,,,,133568,,,,,,,,,,,,,,,,,,,,,369.1
"Lewiston, ID-WA MSA",,,,,,,,,,,,,,,,,,,,,,60888,,,,,,,,,,,,,,,,,,,,,41
"Logan, UT-ID MSA",,,,,,,,,,,,,,,,,,,,,,125442,,,,,,,,,,,,,,,,,,,,,68.6
"Longview, WA MSA",,,,,,,,,,,,,,,,,,,,,,102410,,,,,,,,,,,,,,,,,,,,,89.8
"Madera-Chowchilla, CA MSA",,,,,,,,,,,,,,,,,,,,,,150865,,,,,,,,,,,,,,,,,,,,,70.6
"Manhattan, KS MSA",,,,,,,,,,,,,,,,,,,,,,127081,,,,,,,,,,,,,,,,,,,,,69.2
"Mankato-North Mankato, MN MSA",,,,,,,,,,,,,,,,,,,,,,96740,,,,,,,,,,,,,,,,,,,,,80.9
"Medford, OR MSA",,,,,,,,,,,,,,,,,,,,,,203206,,,,,,,,,,,,,,,,,,,,,73
"Michigan City-La Porte, IN MSA",,,,,,,,,,,,,,,,,,,,,,111467,,,,,,,,,,,,,,,,,,,,,186.3
"Midland, TX MSA",,,,,,,,,,,,,,,,,,,,,,136872,,,,,,,,,,,,,,,,,,,,,152
"Monroe, MI MSA",,,,,,,,,,,,,,,,,,,,,,152021,,,,,,,,,,,,,,,,,,,,,276.7
"Morgantown, WV MSA",,,,,,,,,,,,,,,,,,,,,,129709,,,,,,,,,,,,,,,,,,,,,128.6
"Morristown, TN MSA",,,,,,,,,,,,,,,,,,,,,,136608,,,,,,,,,,,,,,,,,,,,,190.8
"Mount Vernon-Anacortes, WA MSA",,,,,,,,,,,,,,,,,,,,,,116901,,,,,,,,,,,,,,,,,,,,,67.5
"Napa, CA MSA",,,,,,,,,,,,,,,,,,,,,,136484,,,,,,,,,,,,,,,,,,,,,182.4
"Niles-Benton Harbor, MI MSA",,,,,,,,,,,,,,,,,,,,,,156813,,,,,,,,,,,,,,,,,,,,,276.2
"North Port-Bradenton-Sarasota, FL MSA",,,,,,,,,,,,,,,,,,,,,,702281,,,,,,,,,,,,,,,,,,,,,540.7
"Norwich-New London, CT MSA",,,,,,,,,,,,,,,,,,,,,,274055,,,,,,,,,,,,,,,,,,,,,412.2
"Ocean City, NJ MSA",,,,,,,,,,,,,,,,,,,,,,97265,,,,,,,,,,,,,,,,,,,,,386.9
"Odessa, TX MSA",,,,,,,,,,,,,,,,,,,,,,137130,,,,,,,,,,,,,,,,,,,,,152.8
"Ogden-Clearfield, UT MSA",,,,,,,,,,,,,,,,,,,,,,547184,,,,,,,,,,,,,,,,,,,,,368.7
"Oshkosh-Neenah, WI MSA",,,,,,,,,,,,,,,,,,,,,,166994,,,,,,,,,,,,,,,,,,,,,384.3
"Oxnard-Thousand Oaks-Ventura, CA MSA",,,,,,,,,,,,,,,,,,,,,,823318,,,,,,,,,,,,,,,,,,,,,446.7
"Palm Bay-Melbourne-Titusville, FL MSA",,,,,,,,,,,,,,,,,,,,,,543376,,,,,,,,,,,,,,,,,,,,,535
"Palm Coast, FL MSA",,,,,,,,,,,,,,,,,,,,,,95696,,,,,,,,,,,,,,,,,,,,,197.1
"Pascagoula, MS MSA",,,,,,,,,,,,,,,,,,,,,,162246,,,,,,,,,,,,,,,,,,,,,135
"Portland-South Portland-Biddeford, ME MSA",,,,,,,,,,,,,,,,,,,,,,514098,,,,,,,,,,,,,,,,,,,,,247.2
"Port St. Lucie, FL MSA",,,,,,,,,,,,,,,,,,,,,,424107,,,,,,,,,,,,,,,,,,,,,380.2
"Poughkeepsie-Newburgh-Middletown, NY MSA",,,,,,,,,,,,,,,,,,,,,,670301,,,,,,,,,,,,,,,,,,,,,417
"Prescott, AZ MSA",,,,,,,,,,,,,,,,,,,,,,211033,,,,,,,,,,,,,,,,,,,,,26
"Rome, GA MSA",,,,,,,,,,,,,,,,,,,,,,96317,,,,,,,,,,,,,,,,,,,,,188.9
"St. George, UT MSA",,,,,,,,,,,,,,,,,,,,,,138115,,,,,,,,,,,,,,,,,,,,,56.9
"Salisbury, MD MSA",,,,,,,,,,,,,,,,,,,,,,125203,,,,,,,,,,,,,,,,,,,,,180.4
"Sandusky, OH MSA",,,,,,,,,,,,,,,,,,,,,,77079,,,,,,,,,,,,,,,,,,,,,306.4
"Sebastian-Vero Beach, FL MSA",,,,,,,,,,,,,,,,,,,,,,138028,,,,,,,,,,,,,,,,,,,,,274.5
"Spartanburg, SC MSA",,,,,,,,,,,,,,,,,,,,,,284307,,,,,,,,,,,,,,,,,,,,,351.9
"Springfield, OH MSA",,,,,,,,,,,,,,,,,,,,,,138333,,,,,,,,,,,,,,,,,,,,,348
"Valdosta, GA MSA",,,,,,,,,,,,,,,,,,,,,,139588,,,,,,,,,,,,,,,,,,,,,87.8
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",,,,,,,,,,,,,,,,,,,,,,1671683,,,,,,,,,,,,,,,,,,,,,635.7
"Warner Robins, GA MSA",,,,,,,,,,,,,,,,,,,,,,139900,,,,,,,,,,,,,,,,,,,,,372.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",,,,,,,,,,,,,,,,,,,,,,5582170,,,,,,,,,,,,,,,,,,,,,997.1
"Wenatchee-East Wenatchee, WA MSA",,,,,,,,,,,,,,,,,,,,,,110884,,,,,,,,,,,,,,,,,,,,,23.4
"Winchester, VA-WV MSA",,,,,,,,,,,,,,,,,,,,,,128472,,,,,,,,,,,,,,,,,,,,,120.9
"Winston-Salem, NC MSA",,,,,,,,,,,,,,,,,,,,,,477717,,,,,,,,,,,,,,,,,,,,,328.1
"York-Hanover, PA MSA",,,,,,,,,,,,,,,,,,,,,,434972,,,,,,,,,,,,,,,,,,,,,481.1
"Fajardo, PR MSA",,,,,,,,,,,,,,,,,,,,,,70692,,,,,,,,,,,,,,,,,,,,,834.5
"Guayama, PR MSA",,,,,,,,,,,,,,,,,,,,,,84214,,,,,,,,,,,,,,,,,,,,,664.7
"San Germán-Cabo Rojo, PR MSA",,,,,,,,,,,,,,,,,,,,,,137462,,,,,,,,,,,,,,,,,,,,,623
"Yauco, PR MSA",,,,,,,,,,,,,,,,,,,,,,107333,,,,,,,,,,,,,,,,,,,,,558.6
1990 Data Not in 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Anaheim-Santa Ana, CA PMSA""",,2410556,,,,,,,,,,,,,,,,,,,,,3052.6,,,,,,,,,,,,,,,,,,,,
"""Anderson, IN MSA""",,130669,,,,,,,,,,,,,,,,,,,,,289,,,,,,,,,,,,,,,,,,,,
"""Anderson, SC MSA""",,145196,,,,,,,,,,,,,,,,,,,,,202.2,,,,,,,,,,,,,,,,,,,,
"""Aurora-Elgin, IL PMSA""",,356884,,,,,,,,,,,,,,,,,,,,,424.2,,,,,,,,,,,,,,,,,,,,
"""Battle Creek, MI MSA""",,135982,,,,,,,,,,,,,,,,,,,,,191.8,,,,,,,,,,,,,,,,,,,,
"""Beaver County, PA PMSA""",,186093,,,,,,,,,,,,,,,,,,,,,427.5,,,,,,,,,,,,,,,,,,,,
"""Bradenton, FL MSA""",,211707,,,,,,,,,,,,,,,,,,,,,285.6,,,,,,,,,,,,,,,,,,,,
"""Bristol, CT PMSA""",,79488,,,,,,,,,,,,,,,,,,,,,1018.6,,,,,,,,,,,,,,,,,,,,
"""Buffalo, NY PMSA""",,968532,,,,,,,,,,,,,,,,,,,,,927.1,,,,,,,,,,,,,,,,,,,,
"""Burlington, NC MSA""",,108213,,,,,,,,,,,,,,,,,,,,,251.3,,,,,,,,,,,,,,,,,,,,
"""Fall River, MA-RI PMSA""",,157272,,,,,,,,,,,,,,,,,,,,,967.9,,,,,,,,,,,,,,,,,,,,
"""Hartford-New Britain-Middletown, CT CMSA""",,1085837,,,,,,,,,,,,,,,,,,,,,759.1,,,,,,,,,,,,,,,,,,,,
"""Joliet, IL PMSA""",,389650,,,,,,,,,,,,,,,,,,,,,309.9,,,,,,,,,,,,,,,,,,,,
"""Lake County, IL PMSA""",,516418,,,,,,,,,,,,,,,,,,,,,1153.3,,,,,,,,,,,,,,,,,,,,
"""Lorain-Elyria, OH PMSA""",,271126,,,,,,,,,,,,,,,,,,,,,550.4,,,,,,,,,,,,,,,,,,,,
"""Los Angeles-Anaheim-Riverside, CA CMSA""",,14531529,,,,,,,,,,,,,,,,,,,,,427.8,,,,,,,,,,,,,,,,,,,,
"""Middletown, CT PMSA""",,90320,,,,,,,,,,,,,,,,,,,,,468.9,,,,,,,,,,,,,,,,,,,,
"""Midland, TX MSA""",,106611,,,,,,,,,,,,,,,,,,,,,118.4,,,,,,,,,,,,,,,,,,,,
"""Muskegon, MI MSA""",,158983,,,,,,,,,,,,,,,,,,,,,312.2,,,,,,,,,,,,,,,,,,,,
"""New Britain, CT PMSA""",,148188,,,,,,,,,,,,,,,,,,,,,1732.7,,,,,,,,,,,,,,,,,,,,
"""Niagara Falls, NY PMSA""",,220756,,,,,,,,,,,,,,,,,,,,,422.1,,,,,,,,,,,,,,,,,,,,
"""Norwalk, CT PMSA""",,127378,,,,,,,,,,,,,,,,,,,,,1422.2,,,,,,,,,,,,,,,,,,,,
"""Oxnard-Ventura, CA PMSA""",,669016,,,,,,,,,,,,,,,,,,,,,362.4,,,,,,,,,,,,,,,,,,,,
"""Pascagoula, MS MSA""",,115243,,,,,,,,,,,,,,,,,,,,,158.6,,,,,,,,,,,,,,,,,,,,
"""Pawtucket-Woonsocket-Attleboro, RI-MA PMSA""",,329384,,,,,,,,,,,,,,,,,,,,,1073.8,,,,,,,,,,,,,,,,,,,,
"""Pittsburgh-Beaver Valley, PA CMSA""",,2242798,,,,,,,,,,,,,,,,,,,,,584.8,,,,,,,,,,,,,,,,,,,,
"""Portland, OR PMSA""",,1239842,,,,,,,,,,,,,,,,,,,,,331.2,,,,,,,,,,,,,,,,,,,,
